t,T_tr,T_v,rho_N2,rho_N,rho_O2,rho_O,rho_NO
2.59e-12,6221.03,23483.9,0.766992,8.18521e-06,0.232835,0.000164598,2.79855e-08
2.6e-12,6237.93,23441.6,0.766992,8.23229e-06,0.232834,0.000165485,2.8316e-08
2.61e-12,6255.42,23397.7,0.766992,8.27955e-06,0.232834,0.000166373,2.8647e-08
2.62e-12,6273.5,23352.4,0.766992,8.32697e-06,0.232833,0.000167263,2.89783e-08
2.63e-12,6292.17,23305.6,0.766992,8.37458e-06,0.232832,0.000168154,2.931e-08
2.64e-12,6311.43,23257.3,0.766992,8.42237e-06,0.232831,0.000169047,2.96421e-08
2.65e-12,6331.29,23207.6,0.766992,8.47035e-06,0.23283,0.000169941,2.99744e-08
2.66e-12,6351.73,23156.3,0.766991,8.51852e-06,0.232829,0.000170837,3.03069e-08
2.67e-12,6372.76,23103.6,0.766991,8.56688e-06,0.232828,0.000171734,3.06398e-08
2.68e-12,6394.37,23049.5,0.766991,8.61543e-06,0.232827,0.000172633,3.09728e-08
2.69e-12,6416.58,22993.8,0.766991,8.66419e-06,0.232826,0.000173533,3.1306e-08
2.7e-12,6439.37,22936.7,0.766991,8.71314e-06,0.232826,0.000174435,3.16395e-08
2.71e-12,6462.75,22878.1,0.766991,8.7623e-06,0.232825,0.000175339,3.1973e-08
2.72e-12,6486.71,22818.1,0.766991,8.81166e-06,0.232824,0.000176244,3.23068e-08
2.73e-12,6511.25,22756.5,0.766991,8.86123e-06,0.232823,0.000177151,3.26407e-08
2.74e-12,6536.38,22693.6,0.766991,8.91101e-06,0.232822,0.00017806,3.29747e-08
2.75e-12,6562.09,22629.1,0.766991,8.961e-06,0.232821,0.00017897,3.33088e-08
2.76e-12,6588.38,22563.2,0.766991,9.01119e-06,0.23282,0.000179882,3.36431e-08
2.77e-12,6615.25,22495.9,0.766991,9.0616e-06,0.232819,0.000180796,3.39775e-08
2.78e-12,6642.7,22427.1,0.766991,9.11222e-06,0.232818,0.000181711,3.43119e-08
2.79e-12,6670.73,22356.9,0.766991,9.16304e-06,0.232817,0.000182628,3.46465e-08
